,title,make,model,variant,price,no specs,mileage,year,fuel,transmission,body type,colour,doors,engine size,CO2,review count,distance,delivery
118,Used Kia Optima for Sale | AA Cars,Kia,Optima,2.0 GDi PHEV 4dr Auto,"£16,495",9,"23,202",2018,Hybrid,Automatic,Saloon,Blue,4,2.0 L,37 g/km,2,9 miles,False
119,Used Kia Sportage for Sale | AA Cars,Kia,Sportage,1.7 CRDi ISG 3 5dr,"£15,995",9,"12,416",2017,Diesel,Manual,Suv,Red,5,1.7 L,119 g/km,43,9 miles,False
120,Used Kia Sportage for Sale | AA Cars,Kia,Sportage,1.6 CRDi ISG 2 5dr,"£15,495",9,"27,898",2018,Diesel,Manual,Suv,Red,5,1.6 L,129 g/km,43,9 miles,False
121,Used Kia Sportage for Sale | AA Cars,Kia,Sportage,1.7 CRDi ISG 3 5dr DCT Auto [Panoramic Roof],"£14,995",9,"44,531",2018,Diesel,Automatic,Suv,Silver,5,1.7 L,129 g/km,43,9 miles,False
122,Used Kia Niro for Sale | AA Cars,Kia,Niro,1.6 GDi Hybrid 3 5dr DCT,"£14,995",9,"25,121",2017,Hybrid,Automatic,Suv,Grey,5,1.6 L,101 g/km,,9 miles,False
123,Used Suzuki Vitara for Sale | AA Cars,Suzuki,Vitara,1.6 SZ5 ALLGRIP 5dr Auto,"£14,995",9,"16,881",2018,Petrol,Automatic,Suv,Other,5,1.6 L,131 g/km,30,9 miles,False
124,Used Kia Carens for Sale | AA Cars,Kia,Carens,1.7 CRDi ISG [139] 4 5dr DCT,"£14,795",9,"12,962",2017,Diesel,Automatic,Mpv,Blue,5,1.7 L,127 g/km,12,9 miles,False
125,Used Kia Sportage for Sale | AA Cars,Kia,Sportage,2.0 CRDi KX-3 5dr Auto,"£14,495",9,"37,297",2016,Diesel,Automatic,Suv,Red,5,2.0 L,154 g/km,43,9 miles,False
126,Used Kia Carens for Sale | AA Cars,Kia,Carens,1.6 Gdi Isg 2 5Dr,"£14,495",9,"11,802",2018,Petrol,Manual,Mpv,Blue,5,1.6 L,143 g/km,12,9 miles,False
127,Used Suzuki Ignis for Sale | AA Cars,Suzuki,Ignis,1.2 Dualjet 12V Hybrid SZ-T 5dr CVT,"£13,995",9,750,2020,Hybrid,Automatic,Suv,Blue,5,1.2 L,124 g/km,8,9 miles,False
128,Used Suzuki Ignis for Sale | AA Cars,Suzuki,Ignis,1.2 Dualjet 12V Hybrid SZ5 5dr,"£13,995",9,700,2020,Hybrid,Manual,Suv,Green,5,1.2 L,114 g/km,8,9 miles,False
129,Used Kia Niro for Sale | AA Cars,Kia,Niro,1.6 GDi Hybrid 2 5dr DCT,"£13,495",9,"32,480",2017,Hybrid,Automatic,Suv,White,5,1.6 L,88 g/km,,9 miles,False
130,Used Kia Sportage for Sale | AA Cars,Kia,Sportage,1.6 GDi ISG 2 5dr,"£12,995",9,"17,256",2017,Petrol,Manual,Suv,Silver,5,1.6 L,147 g/km,43,9 miles,False
131,Used Kia Stonic for Sale | AA Cars,Kia,Stonic,1.0T GDi 4 5dr,"£12,995",9,"29,857",2018,Petrol,Manual,Suv,Black,5,1.0 L,130 g/km,,9 miles,False
132,Used Kia Sportage for Sale | AA Cars,Kia,Sportage,1.6 GDi ISG 2 5dr,"£12,995",9,"24,302",2017,Petrol,Manual,Suv,Silver,5,1.6 L,147 g/km,43,9 miles,False
